id,Treatment,EOS,EOS.DOY,phenophase
K187,Post_full,2022-11-27,331,EOS85
K188,Post_full,2022-12-06,340,EOS85
K189,Post_full,2022-12-05,339,EOS85
K191,Post_full,2022-11-27,331,EOS85
K192,Post_full,2022-11-25,329,EOS85
K193,Post_full,2022-11-27,331,EOS85
K194,Post_full,2022-11-27,331,EOS85
K195,Post_full,2022-11-26,330,EOS85
K196,Post_full,2022-11-26,330,EOS85
K197,Post_full,2022-11-26,330,EOS85
K198,Post_full,2022-11-30,334,EOS85
